Cartesian
Radius  Average   Standard Deviation   Variance
71        1119.69        4.22174        17.8231
72        1107.07        1.70617        2.91102
73        1118.71        5.47439        29.9689
74        1091.57        2.16504        4.68741
75        1118.51        7.94541        63.1295
76        1090.33        20.9551        439.115
77         1126.2        0.36728       0.134894
78        1096.55        21.1204        446.072
79        1085.24        7.37583        54.4028
80        1094.44        3.71942        13.8341
81        1115.51        3.91672        15.3407
82        1100.05        2.49793        6.23965
83        1093.39        5.89146        34.7093
84        1084.08         2.6235        6.88276
85        1102.54         30.107         906.43
86        1099.69        3.17371        10.0724
87        1111.22        6.48104        42.0039
88         1110.2         1.6073        2.58341
89        1125.24        5.96484        35.5793
90        1108.31        3.18568        10.1486
91        1115.86            2.2           4.84
92        1100.67         1.9405        3.76554
93        1114.09        2.09979        4.40913
94        1091.03        3.25776         10.613
95        1100.64         3.4182        11.6841
96        1090.77        2.25347        5.07811
97        1094.95        3.62821        13.1639
98        1090.98         2.1836        4.76812
99        1112.77         4.1288         17.047
100        1106.28        3.28148        10.7681
101        1103.86        9.18352         84.337
102        1101.41        2.42335         5.8726
103        1102.78        2.65089        7.02723
104        1102.61        2.44843         5.9948
105        1095.63        4.85134        23.5355
106        1100.55        3.01976        9.11895
107        1092.04        5.32529        28.3587
108        1088.57        2.67126        7.13563
109        1094.68        22.6822        514.481
110        1098.04        2.02373        4.09548
111        1080.62        4.89647        23.9754
112        1088.24        2.33378        5.44654
113        1093.66        5.11859           26.2
114         1088.2        6.35318        40.3629
115        1090.62        3.50872        12.3111
116        1098.51        2.76798        7.66172
117        1094.23          3.392        11.5057
118        1090.58        2.73416        7.47562
119        1097.73        4.44387         19.748
120        1100.59        3.61963        13.1017
121        1090.85        3.31951        11.0192
122        1104.12        2.84355        8.08576
123        1113.28        2.49417        6.22086
124        1113.83        1.96704        3.86925
125        1104.33        4.01415        16.1134
126         1108.1        2.27478        5.17463
127        1136.52        1.63329        2.66764
128        1096.87        3.61092        13.0387
129        1111.51        2.79748         7.8259
130        1092.07        2.21258        4.89551
131         1104.3        2.44877        5.99648
132        1099.32         2.5842        6.67808
133        1115.87        7.75029        60.0669
134        1094.86        2.09268        4.37929
135        1085.08        14.8138        219.449
136        1095.62        2.10012         4.4105
137        1094.74        4.17482        17.4292
138        1110.33        2.26762        5.14211
139        1099.27        3.03208        9.19349
140        1104.69        3.45846        11.9609
141        1111.57        2.97403        8.84487
142        1107.21        2.93564        8.61801
143           1112        2.59626        6.74055
144        1095.85        3.26365        10.6514
145        1116.78        11.1119        123.474
146        1108.08        2.56029        6.55507
147        1100.67        3.55133        12.6119
148        1108.32        1.66671        2.77793
149        1116.93         23.371        546.203
150        1113.51        13.6518         186.37
151        1138.55        6.72851        45.2728
152        1106.67        2.25575         5.0884
153        1123.67        27.1758        738.526
154        1107.62        1.87786        3.52634
155        1124.25        31.1374        969.539
156        1117.36        1.98082        3.92364
157        1133.01          1.386        1.92101
158        1098.28        2.01507        4.06049
159        1103.39        3.15786        9.97211
160        1094.99        6.64094        44.1021
161        1104.27        8.88757        78.9888
162        1110.84        1.58632        2.51643
163        1079.08         7.1073        50.5137
164        1103.56        2.98655        8.91948
165        1087.45        3.33416        11.1166
166        1100.15        3.18919        10.1709
167        1080.43        3.64774         13.306
168         1094.9        2.69097        7.24133
169        1108.42        2.97746        8.86526
170        1101.68        1.90736        3.63802
171        1113.75        3.81259        14.5358
172        1110.64        2.85753        8.16547
173        1128.92        1.79234        3.21249
174           1102        1.89746        3.60036
175        1105.91        5.72827        32.8131
176        1107.74        1.87387        3.51139
177        1111.84        2.46665        6.08437
178        1113.01        1.83384        3.36296
179        1108.88        1.30211        1.69548
180        1105.84        13.6978        187.628
181        1110.57        1.09263        1.19385
182        1084.06        2.90743        8.45315
183        1112.68        2.20575        4.86532
184        1109.36        1.85445          3.439
185        1096.65        12.9086        166.633
186         1103.4        2.23273        4.98507
187        1109.87        2.42095        5.86098
188        1103.78         21.275        452.628
189        1115.95         2.0147        4.05901
190        1110.27        73.7674        5441.62
191        1121.69        1.80272        3.24979
192        1097.29        2.61561        6.84144
193        1115.67        2.65341        7.04057
194        1103.98        1.80323        3.25162
195        1086.46        4.22787        17.8749
196        1095.44        2.99022         8.9414
197        1103.25         3.9243        15.4001
198        1098.91        6.07439        36.8982
199        1116.04        3.44167        11.8451
200         1088.8        2.28307        5.21241
201         1114.8        2.11103        4.45644
202        1114.94        3.16044         9.9884
203        1125.03        4.82848        23.3142
204        1091.73        18.8702        356.083
205        1114.81        5.28553        27.9368
206        1108.99        2.34037        5.47733
207        1112.36        2.98005        8.88071
208         1092.1        2.24196        5.02638
209        1116.52        2.79401         7.8065
210        1098.43        2.32665        5.41328
211        1105.87        3.13613        9.83531
